# Sensor Via Cristoforo Gandino, Milan, Italy (Citizen Science project sensor.community/32399)
# https://aqicn.org/station/@196504/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2021-03-13T00:00:00.000Z,10.48,62.85,25.69,16.82,32.72,9.836,138
2021-03-14T00:00:00.000Z,0.1,76.22,1.83,0.79,12.5,9.509,244
2021-03-15T00:00:00.000Z,0.1,41.4,1.2,0.7,1.8,3.99,215
2021-03-16T00:00:00.000Z,0.1,50.65,0.6,0.3,1.17,4.958,230
2021-03-17T00:00:00.000Z,0.2,69.72,1.14,0.8,1.8,5.491,254
2021-03-18T00:00:00.000Z,2.2,5.45,3.35,2.8,3.5,0.868,10
2021-03-19T00:00:00.000Z,2.63,44.35,5.03,3.87,7.53,6.257,157
2021-03-20T00:00:00.000Z,3.5,120.68,7.7,5.56,12.07,10.409,232
2021-03-21T00:00:00.000Z,2.72,204.6,4.84,3.87,6.1,13.825,212
2021-03-22T00:00:00.000Z,3.83,51.1,7.64,5.69,10.68,4.771,228
2021-03-23T00:00:00.000Z,2.29,70.78,6.84,4.32,8.32,6.23,298
2021-03-24T00:00:00.000Z,4.15,47,13.35,9.4,16,5.332,182
2021-03-25T00:00:00.000Z,4.59,205.75,10.13,6.6,25.42,21.251,206
2021-03-26T00:00:00.000Z,4.82,36.4,9.15,8.26,19.05,7.657,165
2021-03-27T00:00:00.000Z,3.45,39.97,9.77,6.68,15.99,6.477,153
2021-03-28T00:00:00.000Z,3.72,45.28,7.06,5.53,9.5,6.771,116
2021-03-29T00:00:00.000Z,3.97,32.45,8.09,5.92,16.52,6.689,192
2021-03-30T00:00:00.000Z,21.23,102.82,33.72,28.85,39.72,8.477,218
2021-03-31T00:00:00.000Z,19.35,94.28,36,27.27,45.9,11.581,195
2021-04-01T00:00:00.000Z,1.3,79.13,23.6,4.41,33.92,15.877,176
2021-04-02T00:00:00.000Z,1.17,39.65,3.18,2.15,4.82,3.615,198
2021-04-03T00:00:00.000Z,1.9,12.68,3.46,2.97,5.03,2.422,210
2021-04-04T00:00:00.000Z,1.1,23.65,2.27,1.8,2.78,1.8,203
2021-04-05T00:00:00.000Z,1.4,101.57,2.33,2.1,3.72,8.423,139
2021-04-06T00:00:00.000Z,0.5,71.45,1.6,1.12,2.22,5.829,234
2021-04-07T00:00:00.000Z,0.4,32.22,1.65,1.01,3.51,3.163,165
2021-04-08T00:00:00.000Z,0.93,27.63,2.04,1.6,2.97,2.889,191
2021-04-09T00:00:00.000Z,0.7,30.02,4.2,1.98,5.25,3.507,187
2021-04-10T00:00:00.000Z,0.8,12.1,1.63,1.3,3.15,2.378,171
2021-04-11T00:00:00.000Z,1.1,32.65,4.53,2.73,12.28,5.757,104
2021-04-12T00:00:00.000Z,0.68,99.2,3.2,1.42,8.61,11.504,81
2021-04-13T00:00:00.000Z,0.4,15.5,4.65,2.04,7.28,3.185,123
2021-04-14T00:00:00.000Z,4.15,12.2,6.56,5.2,7.55,1.433,122
2021-04-15T00:00:00.000Z,1.12,11.7,5.3,3.99,6.4,2.106,96
2021-04-16T00:00:00.000Z,4.03,17.32,7.95,5.8,8.4,2.129,70
2021-04-18T00:00:00.000Z,6.5,15.5,13.28,11.23,14.21,2.142,72
2021-04-19T00:00:00.000Z,8.55,122.25,16.01,13.08,17.36,9.968,128
2021-04-20T00:00:00.000Z,2.27,153.93,9.09,4.7,17.55,17.664,120
2021-04-21T00:00:00.000Z,2.92,76.2,4.8,4.22,6.13,8.673,114
2021-04-22T00:00:00.000Z,8.19,139.8,16.25,12.55,22.22,12.969,117
2021-04-23T00:00:00.000Z,9.19,34.33,17.63,13.45,24.92,7.377,108
2021-04-24T00:00:00.000Z,6.8,32.29,15.68,14.3,20.42,4.717,127
2021-04-25T00:00:00.000Z,1.92,66.25,15.98,7.1,17.77,7.38,162
2021-04-26T00:00:00.000Z,1.95,28.35,14.8,11.4,16.95,4.584,134
2021-04-27T00:00:00.000Z,8.43,32.53,13.48,11.75,15.48,3.244,128
2021-04-28T00:00:00.000Z,12.52,103.15,26.03,18.27,32.95,10.664,126
2021-04-29T00:00:00.000Z,15.75,51.9,33.97,29.85,41.65,9.411,115
2021-04-30T00:00:00.000Z,3.4,229.32,6.28,5.47,12.48,23.343,102
2021-05-01T00:00:00.000Z,1.48,152.94,10.24,8.28,13.55,23.404,132
2021-05-02T00:00:00.000Z,0.2,57.88,1.64,0.7,3.56,9.007,132
2021-05-03T00:00:00.000Z,0.5,7.65,1.4,1,2.35,1.658,122
2021-05-04T00:00:00.000Z,1.1,71.05,2.95,2.2,5.18,12.293,110
2021-05-05T00:00:00.000Z,2.1,91.75,3.63,2.72,4.43,11.497,119
2021-05-06T00:00:00.000Z,2.47,67.88,4.47,3.75,5.8,6.107,114
2021-05-07T00:00:00.000Z,0.4,33.54,3.8,1.14,6.49,4.869,121
2021-05-08T00:00:00.000Z,0.3,12.73,1.4,1,3.55,2.102,123
2021-05-09T00:00:00.000Z,1.92,26.25,3.65,2.88,6.22,3.122,139
2021-05-10T00:00:00.000Z,2.9,51.92,5.25,3.97,11.13,8.537,130
2021-05-11T00:00:00.000Z,0.6,10.27,3.67,2.19,4.65,1.757,121
2021-05-12T00:00:00.000Z,0.1,167.77,2.6,1.6,3.85,15.465,115
2021-05-13T00:00:00.000Z,0.3,20.13,0.93,0.69,1.58,1.985,145
2021-05-14T00:00:00.000Z,0.4,35.72,4.18,1.25,8.1,5.08,132
2021-05-15T00:00:00.000Z,0.6,40.08,2.35,1.42,10.84,6.031,144
2021-05-16T00:00:00.000Z,1.2,14.32,2.33,1.85,3.86,2.881,152
2021-05-17T00:00:00.000Z,0.2,7.15,0.8,0.56,1.95,1.746,131
2021-05-18T00:00:00.000Z,0.25,14.3,1.5,0.73,2.2,1.845,111
