# Sensor Via Dei Lavoratori, Corsico, Italy (Citizen Science project sensor.community/59970)
# https://aqicn.org/station/@197593/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2021-03-26T00:00:00.000Z,6.38,7.68,6.86,6.68,7.15,0.43,10
2021-03-27T00:00:00.000Z,3.17,43.38,8.05,4.65,16.07,6.658,179
2021-03-28T00:00:00.000Z,6.35,367.08,10.16,7.88,18.13,46.038,94
2021-03-29T00:00:00.000Z,3.47,30.5,8.98,5.68,13.23,4.92,194
2021-03-30T00:00:00.000Z,13.85,42.4,25.04,21.9,33.67,6.899,218
2021-03-31T00:00:00.000Z,13.65,48.78,25.38,20.75,40.88,10.905,198
2021-04-01T00:00:00.000Z,1.63,46.83,21.77,2.6,32.08,14.136,176
2021-04-02T00:00:00.000Z,1.77,53.2,3.5,2.5,4.76,6.465,201
2021-04-03T00:00:00.000Z,2.5,94.05,6.15,4.65,10.15,10.383,207
2021-04-04T00:00:00.000Z,1.95,37.92,3.45,2.9,5.78,7.09,205
2021-04-05T00:00:00.000Z,1.73,12.73,2.84,2.58,4.34,1.596,132
2021-04-06T00:00:00.000Z,0.22,5.68,1.73,0.81,2.37,1.133,240
2021-04-07T00:00:00.000Z,0.4,15.57,1.24,0.8,5.35,2.735,166
2021-04-08T00:00:00.000Z,1.27,19.02,2.2,1.8,2.88,1.644,192
2021-04-09T00:00:00.000Z,0.98,8.57,3.82,2.2,5.3,1.755,186
2021-04-10T00:00:00.000Z,1.2,21.8,1.97,1.74,3.3,3.457,164
2021-04-11T00:00:00.000Z,1.9,26,6.55,3.24,12.84,7.177,101
2021-04-12T00:00:00.000Z,0.7,29.27,1.95,1.05,9.19,6.202,62
2021-04-13T00:00:00.000Z,0.6,16.35,3.83,2.29,5.25,2.591,119
2021-04-14T00:00:00.000Z,4,34.33,6.57,5.6,8.15,2.879,130
2021-04-15T00:00:00.000Z,1.08,20.27,6,4.88,6.63,2.687,91
2021-04-16T00:00:00.000Z,3.7,18.48,10.4,5.7,11.7,3.383,126
2021-04-17T00:00:00.000Z,9.43,19.92,15.36,12.52,16.89,2.496,144
2021-04-18T00:00:00.000Z,6.45,18.6,13.24,11.98,15.21,2.461,132
2021-04-19T00:00:00.000Z,8.07,28.35,13.06,11.57,20.58,5.47,130
2021-04-20T00:00:00.000Z,2.47,25.35,7.4,5.93,14.73,5.701,119
2021-04-21T00:00:00.000Z,3.58,9.88,6.69,5.57,7.67,1.449,116
2021-04-22T00:00:00.000Z,9.1,36.92,16.17,13.48,23.42,6.081,119
2021-04-23T00:00:00.000Z,10.5,35.79,15.63,12.43,28.09,8.514,108
2021-04-24T00:00:00.000Z,7.82,25.02,17.02,11.02,18.39,4.053,127
2021-04-25T00:00:00.000Z,2.25,22.3,14.65,6.95,16.77,5.749,163
2021-04-26T00:00:00.000Z,2.67,26.13,16,10.83,19.26,5.92,133
2021-04-27T00:00:00.000Z,9.69,23.58,15.33,13.52,19.45,3.24,130
2021-04-28T00:00:00.000Z,10.8,48.17,23.33,18.77,33.2,9.543,126
2021-04-29T00:00:00.000Z,26.15,60,38.75,33.11,44.4,8.532,117
2021-04-30T00:00:00.000Z,3.1,29.33,9.88,6.15,12.18,5.405,103
2021-05-01T00:00:00.000Z,1,22.83,14.52,6.68,17.1,6.259,135
2021-05-02T00:00:00.000Z,0.2,7.9,0.88,0.6,1.38,0.812,135
2021-05-03T00:00:00.000Z,0.5,6.35,1.8,1.38,2.6,1.395,122
2021-05-04T00:00:00.000Z,1.12,8.23,2.79,2.04,3.63,1.341,120
2021-05-05T00:00:00.000Z,2.85,14.6,4.18,3.75,4.78,1.215,119
2021-05-06T00:00:00.000Z,1.8,9.77,4.07,2.89,5.3,1.684,109
2021-05-07T00:00:00.000Z,0.2,10.05,4.05,0.45,6.22,3.325,123
2021-05-08T00:00:00.000Z,0.5,4.15,1.4,1.2,1.65,0.514,97
2021-05-09T00:00:00.000Z,2.78,5.25,3.55,3.1,4,0.606,23
2021-05-10T00:00:00.000Z,3.03,34.13,5.05,4.28,7.81,7.924,125
2021-05-11T00:00:00.000Z,1.02,26.15,7.18,3.38,8.41,3.47,124
2021-05-12T00:00:00.000Z,0.2,8.18,2.2,1.2,4.07,2.379,114
2021-05-13T00:00:00.000Z,0.3,11,0.95,0.68,1.39,1.273,144
2021-05-14T00:00:00.000Z,0.8,27.3,3.92,1.59,10.89,5.063,129
2021-05-15T00:00:00.000Z,0.43,23.77,3.1,1.5,15.13,7.097,145
2021-05-16T00:00:00.000Z,1.5,12.32,3.75,3.1,6.53,2.534,147
2021-05-17T00:00:00.000Z,0.2,11.4,0.9,0.52,2.29,3.157,129
2021-05-18T00:00:00.000Z,0.3,429.65,1.6,0.98,2.22,40.736,111
2021-05-19T00:00:00.000Z,0.1,5.38,0.8,0.5,1.3,0.931,140
2021-05-20T00:00:00.000Z,0.1,3.83,0.94,0.4,3.08,1.292,152
